Comunidades;Provincias;Periodo;Total
Castilla y León;Burgos;2016;12,375
Castilla y León;Burgos;2015;12,093
Castilla y León;León;2023;15,110
Castilla y León;León;2022;14,144
Castilla y León;León;2021;13,400
Castilla y León;León;2020;12,917
Castilla y León;León;2019;12,755
Castilla y León;León;2018;12,222
Castilla y León;León;2017;11,702
Castilla y León;León;2016;11,350
Castilla y León;León;2015;11,138
Castilla y León;Palencia;2023;15,147
Castilla y León;Palencia;2022;14,251
Castilla y León;Palencia;2021;13,624
Castilla y León;Palencia;2020;13,153
Castilla y León;Palencia;2019;13,010
Castilla y León;Palencia;2018;12,525
Castilla y León;Palencia;2017;12,024
Castilla y León;Palencia;2016;11,752
Castilla y León;Palencia;2015;11,392
Castilla y León;Salamanca;2023;14,583
Castilla y León;Salamanca;2022;13,610
Castilla y León;Salamanca;2021;12,920
Castilla y León;Salamanca;2020;12,355
Castilla y León;Salamanca;2019;12,240
Castilla y León;Salamanca;2018;11,762
Castilla y León;Salamanca;2017;11,278
Castilla y León;Salamanca;2016;10,926
Castilla y León;Salamanca;2015;10,667
Castilla y León;Segovia;2023;14,949
Castilla y León;Segovia;2022;13,956
Castilla y León;Segovia;2021;13,324
Castilla y León;Segovia;2020;12,722
Castilla y León;Segovia;2019;12,482
Castilla y León;Segovia;2018;11,922
Castilla y León;Segovia;2017;11,378
Castilla y León;Segovia;2016;11,025
Castilla y León;Segovia;2015;10,730
Castilla y León;Soria;2023;15,626
Castilla y León;Soria;2022;14,721
Castilla y León;Soria;2021;14,385
Castilla y León;Soria;2020;13,889
Castilla y León;Soria;2019;13,353
Castilla y León;Soria;2018;12,907
Castilla y León;Soria;2017;12,377
Castilla y León;Soria;2016;11,961
Castilla y León;Soria;2015;11,674
Castilla y León;Valladolid;2023;15,590
Castilla y León;Valladolid;2022;14,658
Castilla y León;Valladolid;2021;13,987
Castilla y León;Valladolid;2020;13,490
Castilla y León;Valladolid;2019;13,344
Castilla y León;Valladolid;2018;12,905
Castilla y León;Valladolid;2017;12,396
Castilla y León;Valladolid;2016;12,050
Castilla y León;Valladolid;2015;11,682
Castilla y León;Zamora;2023;13,897
Castilla y León;Zamora;2022;12,913
Castilla y León;Zamora;2021;12,292
Castilla y León;Zamora;2020;11,737
Castilla y León;Zamora;2019;11,520
Castilla y León;Zamora;2018;10,971
Castilla y León;Zamora;2017;10,431
Castilla y León;Zamora;2016;10,102
Castilla y León;Zamora;2015;9,859
Castilla La Mancha;Albacete;2023;13,058
Castilla La Mancha;Albacete;2022;12,305
Castilla La Mancha;Albacete;2021;11,652
Castilla La Mancha;Albacete;2020;11,104
Castilla La Mancha;Albacete;2019;10,901
Castilla La Mancha;Albacete;2018;10,351
Castilla La Mancha;Albacete;2017;9,847
Castilla La Mancha;Albacete;2016;9,446
Castilla La Mancha;Albacete;2015;9,150
Castilla La Mancha;Ciudad Real;2023;12,529
Castilla La Mancha;Ciudad Real;2022;11,724
Castilla La Mancha;Ciudad Real;2021;11,051
Castilla La Mancha;Ciudad Real;2020;10,570
Castilla La Mancha;Ciudad Real;2019;10,431
Castilla La Mancha;Ciudad Real;2018;10,001
Castilla La Mancha;Ciudad Real;2017;9,482
Castilla La Mancha;Ciudad Real;2016;9,056
Castilla La Mancha;Ciudad Real;2015;8,786
Castilla La Mancha;Cuenca;2023;12,725
Castilla La Mancha;Cuenca;2022;12,022
Castilla La Mancha;Cuenca;2021;11,550
Castilla La Mancha;Cuenca;2020;10,991
Castilla La Mancha;Cuenca;2019;10,680
Castilla La Mancha;Cuenca;2018;10,212
Castilla La Mancha;Cuenca;2017;9,722
Castilla La Mancha;Cuenca;2016;9,224
Castilla La Mancha;Cuenca;2015;9,009
Castilla La Mancha;Guadalajara;2023;14,689
Castilla La Mancha;Guadalajara;2022;13,829
Castilla La Mancha;Guadalajara;2021;13,149
Castilla La Mancha;Guadalajara;2020;12,624
Castilla La Mancha;Guadalajara;2019;12,521
Castilla La Mancha;Guadalajara;2018;12,083
Castilla La Mancha;Guadalajara;2017;11,600
Castilla La Mancha;Guadalajara;2016;11,212
Castilla La Mancha;Guadalajara;2015;11,036
Castilla La Mancha;Toledo;2023;12,422
Castilla La Mancha;Toledo;2022;11,614
Castilla La Mancha;Toledo;2021;10,998
Castilla La Mancha;Toledo;2020;10,533
Castilla La Mancha;Toledo;2019;10,413
Castilla La Mancha;Toledo;2018;9,955
Castilla La Mancha;Toledo;2017;9,512
Castilla La Mancha;Toledo;2016;9,085
Castilla La Mancha;Toledo;2015;8,845
Cataluña;Barcelona;2023;17,062
Cataluña;Barcelona;2022;16,105
Cataluña;Barcelona;2021;15,297
Cataluña;Barcelona;2020;14,676
Cataluña;Barcelona;2019;14,656
Cataluña;Barcelona;2018;14,198
Cataluña;Barcelona;2017;13,622
Cataluña;Barcelona;2016;13,256
Cataluña;Barcelona;2015;12,853
Cataluña;Girona;2023;15,130
Cataluña;Girona;2022;14,176
Cataluña;Girona;2021;13,485
Cataluña;Girona;2020;12,865
Cataluña;Girona;2019;12,843
Cataluña;Girona;2018;12,355
Cataluña;Girona;2017;11,841
Cataluña;Girona;2016;11,409
Cataluña;Girona;2015;11,095
Cataluña;Lleida;2023;14,713
Cataluña;Lleida;2022;13,865
Cataluña;Lleida;2021;13,334
Cataluña;Lleida;2020;12,896
Cataluña;Lleida;2019;12,618
Cataluña;Lleida;2018;12,124
Cataluña;Lleida;2017;11,624
Cataluña;Lleida;2016;11,208
