ccaa;provincia;anio;precio_compra_m2;precio_alquiler_m2;renta_neta_anual;renta_mensual_neta;renta_es_proyeccion;tipo_interes_hipoteca
ComunidadValenciana;Valencia;2022;1250.25;8.7917;13548;1129;False;2.1038
ComunidadValenciana;Valencia;2023;1350.8333;10.2167;14435;1202.9167;False;3.2812
ComunidadValenciana;Valencia;2024;1489.9167;11.9167;15213.2426;1267.7702;True;3.4529
ComunidadValenciana;Valencia;2025;1725.9;13.23;16033.443;1336.1203;True;3.075
Euskadi;Gipúzcoa;2020;3040.8333;13.4917;16399;1366.5833;False;2.2333
Euskadi;Gipúzcoa;2021;3174.3333;13.65;16887;1407.25;False;1.9904
Euskadi;Gipúzcoa;2022;3267.3333;13.8;18325;1527.0833;False;2.1038
Euskadi;Gipúzcoa;2023;3438.3333;14.6;19616;1634.6667;False;3.2812
Euskadi;Gipúzcoa;2024;3605.9167;15.975;20828.0228;1735.6686;True;3.4529
Euskadi;Gipúzcoa;2025;3902;16.48;22114.9334;1842.9111;True;3.075
Euskadi;Vizcaya;2020;2561.6667;11.575;15555;1296.25;False;2.2333
Euskadi;Vizcaya;2021;2600.3333;11.7083;16192;1349.3333;False;1.9904
Euskadi;Vizcaya;2022;2660.0833;11.9417;17225;1435.4167;False;2.1038
Euskadi;Vizcaya;2023;2732.1667;12.525;18738;1561.5;False;3.2812
Euskadi;Vizcaya;2024;2831.3333;13.4583;19940.8912;1661.7409;True;3.4529
Euskadi;Vizcaya;2025;3066.9;14.4;21221.0023;1768.4169;True;3.075
Euskadi;Álava;2020;2031.5;9.375;14962;1246.8333;False;2.2333
Euskadi;Álava;2021;2132.8333;9.65;15539;1294.9167;False;1.9904
Euskadi;Álava;2022;2198.25;10.15;16403;1366.9167;False;2.1038
Euskadi;Álava;2023;2262;10.75;17806;1483.8333;False;3.2812
Euskadi;Álava;2024;2314.9167;11.2917;18872.5766;1572.7147;True;3.4529
Euskadi;Álava;2025;2368.2;11.88;20003.041;1666.9201;True;3.075
Extremadura;Badajoz;2020;908.75;5.2583;10001;833.4167;False;2.2333
Extremadura;Badajoz;2021;934.9167;5.5;10549;879.0833;False;1.9904
Extremadura;Badajoz;2022;952.9167;5.725;11158;929.8333;False;2.1038
Extremadura;Badajoz;2023;971.4167;6.2083;12068;1005.6667;False;3.2812
Extremadura;Badajoz;2024;982.4167;6.6417;12848.723;1070.7269;True;3.4529
Extremadura;Badajoz;2025;960.6;7.08;13679.9537;1139.9961;True;3.075
Extremadura;Cáceres;2020;892.25;4.925;10660;888.3333;False;2.2333
Extremadura;Cáceres;2021;924.3333;5.2083;11238;936.5;False;1.9904
Extremadura;Cáceres;2022;916.1667;5.5;11786;982.1667;False;2.1038
Extremadura;Cáceres;2023;923.8333;5.75;12771;1064.25;False;3.2812
Extremadura;Cáceres;2024;982.3333;6.9917;13565.1784;1130.4315;True;3.4529
Extremadura;Cáceres;2025;999.6;7.11;14408.7437;1200.7286;True;3.075
Galicia;A Coruña;2020;1304.6667;6.6917;12841;1070.0833;False;2.2333
Galicia;A Coruña;2021;1284.8333;6.8833;13319;1109.9167;False;1.9904
Galicia;A Coruña;2022;1269.4167;7.2083;14294;1191.1667;False;2.1038
Galicia;A Coruña;2023;1313.0833;7.775;15319;1276.5833;False;3.2812
Galicia;A Coruña;2024;1387.8333;8.5333;16249.0503;1354.0875;True;3.4529
Galicia;A Coruña;2025;1456.5;9.27;17235.566;1436.2972;True;3.075
Galicia;Lugo;2020;1009.25;5.1583;12021;1001.75;False;2.2333
Galicia;Lugo;2021;994.0833;5.3833;12560;1046.6667;False;1.9904
Galicia;Lugo;2022;979;5.6667;13362;1113.5;False;2.1038
Galicia;Lugo;2023;1004.25;6.0167;14316;1193;False;3.2812
Galicia;Lugo;2024;1030.9167;6.7167;15175.3809;1264.6151;True;3.4529
Galicia;Lugo;2025;1073.6;7.39;16086.3499;1340.5292;True;3.075
Galicia;Ourense;2020;1140.5;5.6417;11937;994.75;False;2.2333
Galicia;Ourense;2021;1143.1667;5.75;12365;1030.4167;False;1.9904
Galicia;Ourense;2022;1149.4167;5.7833;13043;1086.9167;False;2.1038
Galicia;Ourense;2023;1149.9167;6.2917;14049;1170.75;False;3.2812
Galicia;Ourense;2024;1120.1667;6.8583;14834.8851;1236.2404;True;3.4529
Galicia;Ourense;2025;1059.9;7.38;15664.7317;1305.3943;True;3.075
Galicia;Pontevedra;2020;1487.25;7.7167;11881;990.0833;False;2.2333
Galicia;Pontevedra;2021;1541.9167;8.2917;12425;1035.4167;False;1.9904
Galicia;Pontevedra;2022;1572.1667;8.4583;13170;1097.5;False;2.1038
Galicia;Pontevedra;2023;1603.3333;8.9583;14137;1178.0833;False;3.2812
Galicia;Pontevedra;2024;1661.5833;9.8083;14981.3163;1248.443;True;3.4529
Galicia;Pontevedra;2025;1725.7;10.31;15876.0584;1323.0049;True;3.075
La Rioja;La Rioja;2020;1215.0833;6.575;12738;1061.5;False;2.2333
La Rioja;La Rioja;2021;1238.25;6.8333;13215;1101.25;False;1.9904
La Rioja;La Rioja;2022;1263.5;7.1667;13864;1155.3333;False;2.1038
La Rioja;La Rioja;2023;1283.6667;7.475;14827;1235.5833;False;3.2812
La Rioja;La Rioja;2024;1337.1667;8.025;15598.0946;1299.8412;True;3.4529
La Rioja;La Rioja;2025;1370.7;8.87;16409.2909;1367.4409;True;3.075
Melilla;Melilla;2020;1760.9167;8.5;11665;972.0833;False;2.2333
Melilla;Melilla;2021;1815.4167;8.925;12506;1042.1667;False;1.9904
Melilla;Melilla;2022;1888;9.1;13140;1095;False;2.1038
Melilla;Melilla;2023;1901.3333;9.4667;13995;1166.25;False;3.2812
Melilla;Melilla;2024;1944.6667;9.925;14871.3677;1239.2806;True;3.4529
Melilla;Melilla;2025;2040.5;10.17;15802.6136;1316.8845;True;3.075
Murcia;Murcia;2020;1049.6667;6.375;10574;881.1667;False;2.2333
Murcia;Murcia;2021;1056.4167;6.625;11023;918.5833;False;1.9904
Murcia;Murcia;2022;1079.75;7.0417;11599;966.5833;False;2.1038
Murcia;Murcia;2023;1150.9167;7.5;12446;1037.1667;False;3.2812
Murcia;Murcia;2024;1272.1667;8.125;13141.8997;1095.1583;True;3.4529
Murcia;Murcia;2025;1466.9;8.75;13876.7095;1156.3925;True;3.075
Navarra;Navarra;2020;1424.4167;8.475;14227;1185.5833;False;2.2333
Navarra;Navarra;2021;1448.6667;8.8667;14718;1226.5;False;1.9904
Navarra;Navarra;2022;1521.6667;9.225;15681;1306.75;False;2.1038
Navarra;Navarra;2023;1637.6667;9.5917;16423;1368.5833;False;3.2812
Navarra;Navarra;2024;1729.75;10.1167;17229.1522;1435.7627;True;3.4529
Navarra;Navarra;2025;1751.2;10.57;18074.8758;1506.2396;True;3.075
