ccaa;provincia;anio;renta_neta_anual;is_projection;renta_mensual_neta
CastillaLaMancha;Guadalajara;2025;16251.1274;True;1354.2606
CastillaLaMancha;Toledo;2015;8845;False;737.0833
CastillaLaMancha;Toledo;2016;9085;False;757.0833
CastillaLaMancha;Toledo;2017;9512;False;792.6667
CastillaLaMancha;Toledo;2018;9955;False;829.5833
CastillaLaMancha;Toledo;2019;10413;False;867.75
CastillaLaMancha;Toledo;2020;10533;False;877.75
CastillaLaMancha;Toledo;2021;10998;False;916.5
CastillaLaMancha;Toledo;2022;11614;False;967.8333
CastillaLaMancha;Toledo;2023;12422;False;1035.1667
CastillaLaMancha;Toledo;2024;13124.7886;True;1093.7324
CastillaLaMancha;Toledo;2025;13867.3382;True;1155.6115
CastillaLeon;Burgos;2015;12093;False;1007.75
CastillaLeon;Burgos;2016;12375;False;1031.25
CastillaLeon;Burgos;2017;12701;False;1058.4167
CastillaLeon;Burgos;2018;13316;False;1109.6667
CastillaLeon;Burgos;2019;13713;False;1142.75
CastillaLeon;Burgos;2020;13777;False;1148.0833
CastillaLeon;Burgos;2021;14357;False;1196.4167
CastillaLeon;Burgos;2022;15017;False;1251.4167
CastillaLeon;Burgos;2023;15988;False;1332.3333
CastillaLeon;Burgos;2024;16801.9481;True;1400.1623
CastillaLeon;Burgos;2025;17657.3342;True;1471.4445
CastillaLeon;León;2015;11138;False;928.1667
CastillaLeon;León;2016;11350;False;945.8333
CastillaLeon;León;2017;11702;False;975.1667
CastillaLeon;León;2018;12222;False;1018.5
CastillaLeon;León;2019;12755;False;1062.9167
CastillaLeon;León;2020;12917;False;1076.4167
CastillaLeon;León;2021;13400;False;1116.6667
CastillaLeon;León;2022;14144;False;1178.6667
CastillaLeon;León;2023;15110;False;1259.1667
CastillaLeon;León;2024;15921.9735;True;1326.8311
CastillaLeon;León;2025;16777.5805;True;1398.1317
CastillaLeon;Palencia;2015;11392;False;949.3333
CastillaLeon;Palencia;2016;11752;False;979.3333
CastillaLeon;Palencia;2017;12024;False;1002
CastillaLeon;Palencia;2018;12525;False;1043.75
CastillaLeon;Palencia;2019;13010;False;1084.1667
CastillaLeon;Palencia;2020;13153;False;1096.0833
CastillaLeon;Palencia;2021;13624;False;1135.3333
CastillaLeon;Palencia;2022;14251;False;1187.5833
CastillaLeon;Palencia;2023;15147;False;1262.25
CastillaLeon;Palencia;2024;15877.6096;True;1323.1341
CastillaLeon;Palencia;2025;16643.4599;True;1386.955
CastillaLeon;Salamanca;2015;10667;False;888.9167
CastillaLeon;Salamanca;2016;10926;False;910.5
CastillaLeon;Salamanca;2017;11278;False;939.8333
CastillaLeon;Salamanca;2018;11762;False;980.1667
CastillaLeon;Salamanca;2019;12240;False;1020
CastillaLeon;Salamanca;2020;12355;False;1029.5833
CastillaLeon;Salamanca;2021;12920;False;1076.6667
CastillaLeon;Salamanca;2022;13610;False;1134.1667
CastillaLeon;Salamanca;2023;14583;False;1215.25
CastillaLeon;Salamanca;2024;15412.4207;True;1284.3684
CastillaLeon;Salamanca;2025;16289.0155;True;1357.418
CastillaLeon;Segovia;2015;10730;False;894.1667
CastillaLeon;Segovia;2016;11025;False;918.75
CastillaLeon;Segovia;2017;11378;False;948.1667
CastillaLeon;Segovia;2018;11922;False;993.5
CastillaLeon;Segovia;2019;12482;False;1040.1667
CastillaLeon;Segovia;2020;12722;False;1060.1667
CastillaLeon;Segovia;2021;13324;False;1110.3333
CastillaLeon;Segovia;2022;13956;False;1163
CastillaLeon;Segovia;2023;14949;False;1245.75
CastillaLeon;Segovia;2024;15775.7046;True;1314.6421
CastillaLeon;Segovia;2025;16648.1274;True;1387.3439
CastillaLeon;Soria;2015;11674;False;972.8333
CastillaLeon;Soria;2016;11961;False;996.75
CastillaLeon;Soria;2017;12377;False;1031.4167
CastillaLeon;Soria;2018;12907;False;1075.5833
CastillaLeon;Soria;2019;13353;False;1112.75
CastillaLeon;Soria;2020;13889;False;1157.4167
CastillaLeon;Soria;2021;14385;False;1198.75
CastillaLeon;Soria;2022;14721;False;1226.75
CastillaLeon;Soria;2023;15626;False;1302.1667
CastillaLeon;Soria;2024;16253.8849;True;1354.4904
CastillaLeon;Soria;2025;16906.9995;True;1408.9166
CastillaLeon;Valladolid;2015;11682;False;973.5
CastillaLeon;Valladolid;2016;12050;False;1004.1667
CastillaLeon;Valladolid;2017;12396;False;1033
CastillaLeon;Valladolid;2018;12905;False;1075.4167
CastillaLeon;Valladolid;2019;13344;False;1112
CastillaLeon;Valladolid;2020;13490;False;1124.1667
CastillaLeon;Valladolid;2021;13987;False;1165.5833
CastillaLeon;Valladolid;2022;14658;False;1221.5
CastillaLeon;Valladolid;2023;15590;False;1299.1667
CastillaLeon;Valladolid;2024;16361.1762;True;1363.4314
CastillaLeon;Valladolid;2025;17170.4995;True;1430.875
CastillaLeon;Zamora;2015;9859;False;821.5833
CastillaLeon;Zamora;2016;10102;False;841.8333
CastillaLeon;Zamora;2017;10431;False;869.25
CastillaLeon;Zamora;2018;10971;False;914.25
CastillaLeon;Zamora;2019;11520;False;960
CastillaLeon;Zamora;2020;11737;False;978.0833
CastillaLeon;Zamora;2021;12292;False;1024.3333
CastillaLeon;Zamora;2022;12913;False;1076.0833
CastillaLeon;Zamora;2023;13897;False;1158.0833
CastillaLeon;Zamora;2024;14703.0691;True;1225.2558
CastillaLeon;Zamora;2025;15555.8927;True;1296.3244
CastillaLeon;Ávila;2015;9745;False;812.0833
CastillaLeon;Ávila;2016;9925;False;827.0833
CastillaLeon;Ávila;2017;10291;False;857.5833
CastillaLeon;Ávila;2018;10822;False;901.8333
CastillaLeon;Ávila;2019;11322;False;943.5
CastillaLeon;Ávila;2020;11577;False;964.75
CastillaLeon;Ávila;2021;12123;False;1010.25
CastillaLeon;Ávila;2022;12684;False;1057
