ccaa,provincia,anio,precio_compra_m2,precio_alquiler_m2
ComunidadDeMadrid,Madrid,2023,3133.0,15.466666666666667
ComunidadDeMadrid,Madrid,2024,3485.9166666666665,17.883333333333333
ComunidadDeMadrid,Madrid,2025,4196.5,19.98
ComunidadValenciana,Alicante,2020,1590.4166666666667,7.133333333333333
ComunidadValenciana,Alicante,2021,1652.8333333333333,7.125
ComunidadValenciana,Alicante,2022,1778.8333333333333,8.016666666666667
ComunidadValenciana,Alicante,2023,1980.8333333333333,9.35
ComunidadValenciana,Alicante,2024,2217.6666666666665,10.508333333333333
ComunidadValenciana,Alicante,2025,2518.2,11.46
ComunidadValenciana,Castellón,2020,1091.0833333333333,6.016666666666667
ComunidadValenciana,Castellón,2021,1098.0,6.175
ComunidadValenciana,Castellón,2022,1126.5833333333333,6.808333333333334
ComunidadValenciana,Castellón,2023,1182.75,7.191666666666666
ComunidadValenciana,Castellón,2024,1266.75,7.8999999999999995
ComunidadValenciana,Castellón,2025,1390.8,8.53
ComunidadValenciana,Valencia,2020,1211.0,8.125
ComunidadValenciana,Valencia,2021,1233.75,8.058333333333334
ComunidadValenciana,Valencia,2022,1250.25,8.791666666666666
ComunidadValenciana,Valencia,2023,1350.8333333333333,10.216666666666667
ComunidadValenciana,Valencia,2024,1489.9166666666667,11.916666666666666
ComunidadValenciana,Valencia,2025,1725.9,13.23
Euskadi,Gipúzcoa,2020,3040.8333333333335,13.491666666666667
Euskadi,Gipúzcoa,2021,3174.3333333333335,13.65
Euskadi,Gipúzcoa,2022,3267.3333333333335,13.799999999999999
Euskadi,Gipúzcoa,2023,3438.3333333333335,14.6
Euskadi,Gipúzcoa,2024,3605.9166666666665,15.975
Euskadi,Gipúzcoa,2025,3902.0,16.48
Euskadi,Vizcaya,2020,2561.6666666666665,11.575000000000001
Euskadi,Vizcaya,2021,2600.3333333333335,11.708333333333334
Euskadi,Vizcaya,2022,2660.0833333333335,11.941666666666668
Euskadi,Vizcaya,2023,2732.1666666666665,12.525
Euskadi,Vizcaya,2024,2831.3333333333335,13.458333333333334
Euskadi,Vizcaya,2025,3066.9,14.4
Euskadi,Álava,2020,2031.5,9.375
Euskadi,Álava,2021,2132.8333333333335,9.65
Euskadi,Álava,2022,2198.25,10.15
Euskadi,Álava,2023,2262.0,10.75
Euskadi,Álava,2024,2314.9166666666665,11.291666666666666
Euskadi,Álava,2025,2368.2,11.879999999999999
Extremadura,Badajoz,2020,908.75,5.258333333333334
Extremadura,Badajoz,2021,934.9166666666666,5.5
Extremadura,Badajoz,2022,952.9166666666666,5.7250000000000005
Extremadura,Badajoz,2023,971.4166666666666,6.208333333333333
Extremadura,Badajoz,2024,982.4166666666666,6.641666666666667
Extremadura,Badajoz,2025,960.6,7.08
Extremadura,Cáceres,2020,892.25,4.925
Extremadura,Cáceres,2021,924.3333333333334,5.208333333333333
Extremadura,Cáceres,2022,916.1666666666666,5.5
Extremadura,Cáceres,2023,923.8333333333334,5.75
Extremadura,Cáceres,2024,982.3333333333334,6.991666666666667
Extremadura,Cáceres,2025,999.6,7.109999999999999
Galicia,A Coruña,2020,1304.6666666666667,6.691666666666666
Galicia,A Coruña,2021,1284.8333333333333,6.883333333333334
Galicia,A Coruña,2022,1269.4166666666667,7.208333333333333
Galicia,A Coruña,2023,1313.0833333333333,7.7749999999999995
Galicia,A Coruña,2024,1387.8333333333333,8.533333333333333
Galicia,A Coruña,2025,1456.5,9.27
Galicia,Lugo,2020,1009.25,5.158333333333333
Galicia,Lugo,2021,994.0833333333334,5.383333333333333
Galicia,Lugo,2022,979.0,5.666666666666667
Galicia,Lugo,2023,1004.25,6.016666666666667
Galicia,Lugo,2024,1030.9166666666667,6.716666666666666
Galicia,Lugo,2025,1073.6,7.390000000000001
Galicia,Ourense,2020,1140.5,5.641666666666667
Galicia,Ourense,2021,1143.1666666666667,5.75
Galicia,Ourense,2022,1149.4166666666667,5.783333333333334
Galicia,Ourense,2023,1149.9166666666667,6.291666666666667
Galicia,Ourense,2024,1120.1666666666667,6.858333333333333
Galicia,Ourense,2025,1059.9,7.38
Galicia,Pontevedra,2020,1487.25,7.716666666666666
Galicia,Pontevedra,2021,1541.9166666666667,8.291666666666666
Galicia,Pontevedra,2022,1572.1666666666667,8.458333333333334
Galicia,Pontevedra,2023,1603.3333333333333,8.958333333333334
Galicia,Pontevedra,2024,1661.5833333333333,9.808333333333334
Galicia,Pontevedra,2025,1725.7,10.309999999999999
La Rioja,La Rioja,2020,1215.0833333333333,6.575
La Rioja,La Rioja,2021,1238.25,6.833333333333333
La Rioja,La Rioja,2022,1263.5,7.166666666666667
La Rioja,La Rioja,2023,1283.6666666666667,7.4750000000000005
La Rioja,La Rioja,2024,1337.1666666666667,8.025
La Rioja,La Rioja,2025,1370.7,8.870000000000001
Melilla,Melilla,2020,1760.9166666666667,8.5
Melilla,Melilla,2021,1815.4166666666667,8.924999999999999
Melilla,Melilla,2022,1888.0,9.1
Melilla,Melilla,2023,1901.3333333333333,9.466666666666667
Melilla,Melilla,2024,1944.6666666666667,9.925
Melilla,Melilla,2025,2040.5,10.17
Murcia,Murcia,2020,1049.6666666666667,6.375
Murcia,Murcia,2021,1056.4166666666667,6.625
Murcia,Murcia,2022,1079.75,7.041666666666667
Murcia,Murcia,2023,1150.9166666666667,7.5
Murcia,Murcia,2024,1272.1666666666667,8.125
Murcia,Murcia,2025,1466.9,8.75
Navarra,Navarra,2020,1424.4166666666667,8.475
Navarra,Navarra,2021,1448.6666666666667,8.866666666666667
Navarra,Navarra,2022,1521.6666666666667,9.225
Navarra,Navarra,2023,1637.6666666666667,9.591666666666667
Navarra,Navarra,2024,1729.75,10.116666666666667
Navarra,Navarra,2025,1751.2,10.57
